APPROVED SYMBOL	ALIASES
HSPA8P4	
PABPC1P4	
TCEAL7	MGC23947
C11ORF68	P5326, BLES03
HMGCR	
EWSR2~WITHDRAWN	
ERC2	CAST, CAST1, KIAA0378, SPBC110, SPC110, ELKSL
LIX1	
RNU6-1298P	
NBN	ATV, AT-V2, AT-V1
EGFL2~WITHDRAWN	
TRNAL46P	
CACD	
RNU6-802P	
CDKN1B	KIP1, P27KIP1
PHKA1P1	
AURKAIP1	AKIP, AIP, FLJ20608
MIR5680	HSA-MIR-5680
PRG3	MBPH
HSD3B7	C(27)-3BETA-HSD, SDR11E3
SNAPIN	BLOC1S7
RPL7AP14	DJ823N20.2
C17ORF47	FLJ40121
PSD2	DKFZP761B0514
RNA5SP397	
RPL17P24	
LD~WITHDRAWN	
COL18A1-AS2	
TRAJ60	
GAS5	SNHG2, NCRNA00030
MER2~WITHDRAWN	
PLIN4	S3-12
CD1E	
ZNF280D	FLJ20086, ZNF634
NHE3P~WITHDRAWN	
TTTY31P	
MIR548F5	HSA-MIR-548F-5
C18ORF63	DKFZP781G0119
COL4A2	FLJ22259, DKFZP686I14213
ATP5G1P5	
MTND2P22	
RPL39P23	
DNAJC30	
OR13C6P	
TCL1A	TCL1
NCOR1P3	
RN7SL142P	
MACOM	
C17ORF100	LOC388327
MIR598	HSA-MIR-598
STUB1	UBOX1, CHIP, SDCCAG7, HSPABP2, NY-CO-7
SNORD116-24	HBII-85-24
RPL28P1	BCM2489
SPEF1	DKFZP434I114, SPEF1A
C17ORF78	FLJ39647
ATG3	PC3-96, FLJ22125, MGC15201, DKFZP564M1178
CACNA1C-AS3	
MS4A14	NYD-SP21, FLJ32856, DKFZP434H092
IGKV2D-40	
RPL21P47	
IMMP1L	FLJ25059
REV3L	POLZ, REV3
DUXAP3	
POU6F2-AS1	
IGF1	IGF1A
RNU6-476P	
MNX1-AS1	
RNA5SP171	
ESTF~WITHDRAWN	
LGTN	
OR1E5~WITHDRAWN	
RNU6-417P	
KIN	KIN17
CBWD6	OTTHUMG00000066820
ZNF439	DKFZP571K0837
C17ORF12~WITHDRAWN	
MIR641	HSA-MIR-641
CCDC58P5	
GH1	GH-N, GHN, GH, HGH-N
RN7SL742P	
FAM178A	FLJ10512, FLJ25012
TMEM125	MGC17299
C8G	
